True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,1689,0,12,2,4,2,1,0,4,1,0,1715
sitting_phone_talking,4,45,0,0,0,0,0,0,0,0,0,49
standing_free,7,0,1601,2,3,3,4,0,45,11,7,1683
standing_phone_talking,0,0,10,44,0,1,3,0,2,1,0,61
walking_cart,1,0,10,0,158,9,3,5,32,0,1,219
walking_fast,0,0,5,0,12,361,7,8,121,3,0,517
walking_phone,2,0,2,1,3,5,61,3,21,6,0,104
walking_phone_talking,2,0,4,1,8,6,3,63,34,9,0,130
walking_slow,1,1,30,3,13,113,7,10,1297,22,0,1497
wandering,0,0,24,1,5,7,5,3,37,121,0,203
window_shopping,0,0,3,0,0,1,1,0,0,0,31,36
All,1706,46,1701,54,206,508,95,92,1593,174,39,6214
